latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.5889,114.3801,320.4,1.3,1.1,2015-04-14,0543,Aqua,MODIS,74,6.2,294.2,17.2,D,0
4.504,114.2329,314.2,2.2,1.4,2015-04-16,0531,Aqua,MODIS,0,6.2,296.2,24.5,D,0
4.748,114.6444,315.3,1.1,1,2015-04-16,1455,Terra,MODIS,91,6.2,293.5,13,N,0
4.6477,114.4446,312.9,3.7,1.8,2015-04-18,0519,Aqua,MODIS,46,6.2,293,33.2,D,0
4.5808,114.3918,310.4,1.1,1,2015-04-18,1443,Terra,MODIS,80,6.2,292.2,9.1,N,0
4.5772,114.227,307.7,2.9,1.6,2015-04-25,0525,Aqua,MODIS,38,6.2,283.9,18.9,D,0
4.7599,114.6371,317.7,1.3,1.1,2015-04-26,0608,Aqua,MODIS,47,6.2,289.9,12.3,D,0
4.6676,114.4745,322,1.3,1.1,2015-04-30,0544,Aqua,MODIS,72,6.2,296.9,14.6,D,0
4.6659,114.4633,322.4,1.3,1.1,2015-04-30,0544,Aqua,MODIS,67,6.2,298,15.1,D,0
4.5538,114.1595,310.8,1,1,2015-05-05,0602,Aqua,MODIS,0,6.2,290.1,6,D,0
4.4652,114.2792,317.4,1,1,2015-05-07,0250,Terra,MODIS,22,6.2,300.7,7.9,D,0
4.638,114.4209,319.8,1,1,2015-05-07,0250,Terra,MODIS,61,6.2,300.2,11.6,D,0
4.4677,114.2738,308.2,1.3,1.1,2015-05-12,0309,Terra,MODIS,34,6.2,277.6,9.9,D,0
4.3463,114.3141,320,1,1,2015-05-14,0555,Aqua,MODIS,33,6.2,301.4,9.9,D,0
4.8637,114.7407,311.4,3.5,1.8,2015-05-20,0519,Aqua,MODIS,42,6.2,290.1,39.9,D,0
4.5719,114.2044,314.9,1.1,1,2015-05-21,0302,Terra,MODIS,45,6.2,298.9,7.3,D,0
4.6648,114.4592,325.4,1.3,1.1,2015-05-28,0608,Aqua,MODIS,69,6.2,299.2,19.8,D,0
4.6664,114.4706,318.5,1.3,1.1,2015-05-28,0608,Aqua,MODIS,68,6.2,299.2,10,D,0
4.6665,114.4703,308,1.3,1.1,2015-05-30,1814,Aqua,MODIS,73,6.2,292.4,10.5,N,0
4.5771,114.204,313.5,2.2,1.4,2015-06-03,0531,Aqua,MODIS,25,6.2,296.3,17.8,D,0
4.6687,114.4618,303,1.2,1.1,2015-06-03,1750,Aqua,MODIS,53,6.2,288.7,4.8,N,0
4.6699,114.4669,314.7,1.7,1.3,2015-06-04,0315,Terra,MODIS,43,6.2,296,14.7,D,0
4.6701,114.4638,316.9,1.6,1.3,2015-06-04,0614,Aqua,MODIS,0,6.2,296.9,11.6,D,0
4.4668,114.2773,314.6,1,1,2015-06-24,0251,Terra,MODIS,32,6.2,299.5,6,D,0
4.557,114.1633,314.2,1.1,1,2015-06-24,0251,Terra,MODIS,0,6.2,295.5,5.9,D,0
4.3601,114.7896,320.2,1,1,2015-07-01,0555,Aqua,MODIS,74,6.2,297.5,11,D,0
4.3454,114.3168,318.8,1.2,1.1,2015-07-03,0245,Terra,MODIS,36,6.2,302.2,11.6,D,0
4.6373,114.422,317.2,1,1,2015-07-17,0257,Terra,MODIS,34,6.2,301.4,7.2,D,0
